date, pm25, pm10, o3, no2
2019/5/13, , 13, 37, 6
2019/5/14, , 20, 36, 5
2019/5/15, , 18, 28, 3
2019/5/16, , 14, 21, 3
2019/5/18, , 27, 40, 2
2019/5/19, , 16, 25, 5
2019/5/20, , 31, 29, 3
2019/5/21, , 22, 37, 7
2019/5/22, , 11, 47, 4
2019/5/23, , 28, 51, 6
2019/5/24, , 32, 36, 2
2019/5/25, , 21, 37, 
2019/5/26, , 13, 31, 4
2019/5/27, , 10, 26, 4
2019/5/28, , 23, 35, 4
2019/5/29, , 11, 28, 
2019/5/30, , 7, 32, 3
2019/5/31, , 11, 44, 3
2019/6/1, , 16, 46, 2
2019/6/2, , 12, 38, 5
2019/6/3, , 17, 40, 3
2019/6/4, , 22, 51, 5
2019/6/5, , 18, 31, 3
2019/6/6, , 17, 36, 5
2019/6/7, , 17, 32, 
2019/6/8, , 12, 34, 
2019/6/10, , 10, 36, 3
2019/6/11, , 11, 29, 4
2019/6/12, , 19, 38, 4
2019/6/13, , 12, 48, 3
2019/6/14, , 10, 46, 3
2019/6/15, , 17, 34, 3
2019/6/16, , 17, 36, 5
2019/6/17, , 18, 52, 9
2019/6/18, , 31, 55, 8
2019/6/19, , 32, 37, 5
2019/6/20, , 17, 40, 4
2019/6/21, , 15, 41, 3
2019/6/22, , 18, 47, 4
2019/6/23, , 14, 46, 6
2019/6/24, , 24, 52, 3
2019/6/25, , 23, 79, 7
2019/6/26, , 29, 40, 2
2019/6/27, , 22, 39, 3
2019/6/28, , 14, 48, 3
2019/6/29, , 15, 80, 
2019/6/30, , 14, 43, 4
2019/1/1, , 25, 30, 5
2019/1/2, , 18, 22, 7
2019/1/3, , 13, 21, 3
2019/1/4, , 12, 25, 3
2019/1/5, , 8, 26, 
2019/1/7, , 5, 30, 2
2019/1/8, , 5, 30, 2
2019/1/10, , 11, 21, 9
2019/1/11, , 14, 27, 4
2019/1/12, , 7, 27, 
2019/1/15, , 10, 23, 
2019/1/16, , 8, 23, 4
2019/1/17, , 6, 23, 10
2019/1/18, , 10, 17, 8
2019/1/19, , 10, 14, 6
2019/1/20, , 12, 7, 14
2019/1/21, , 17, 20, 10
2019/1/22, , 20, 13, 10
2019/1/23, , 24, 11, 9
2019/1/24, , 35, 14, 11
2019/1/25, , 32, 22, 6
2019/1/26, , 15, 26, 2
2019/1/29, , 10, 16, 9
2019/1/30, , 8, 19, 11
2019/1/31, , 11, 23, 9
2019/2/1, , 11, 3, 11
2019/2/2, , 16, 17, 6
2019/2/3, , 30, 23, 2
2019/2/4, , 15, 21, 8
2019/2/5, , 8, 24, 6
2019/2/6, , 10, 26, 6
2019/2/7, , 11, 27, 
2019/2/8, , 8, 31, 
2019/2/12, , 12, 23, 8
2019/2/13, , 16, 18, 11
2019/2/14, , 27, 24, 10
2019/2/15, , 40, 24, 6
2019/2/16, , 30, 26, 3
2019/2/17, , 21, 32, 12
2019/2/18, , 26, 28, 5
2019/2/19, , 31, 24, 6
2019/2/20, , 19, 23, 6
2019/2/21, , 21, 17, 4
2019/2/22, , 23, 20, 5
2019/2/23, , 19, 27, 3
2019/2/24, , 19, 22, 8
2019/2/25, , 28, 22, 10
2019/2/26, , 26, 15, 11
2019/2/27, , 47, 28, 10
2019/2/28, , 55, 26, 5
2019/3/1, , 32, 24, 3
2019/3/2, , 16, 29, 2
2019/3/3, , 11, 36, 2
2019/3/4, , 5, 32, 5
2019/3/5, , 5, 29, 3
2019/3/6, , 7, 33, 2
2019/3/7, , 9, 32, 4
2019/3/8, , 5, 30, 2
2019/3/9, , 5, , 2
2019/3/10, , 5, 31, 3
2019/3/11, , 5, 34, 4
2019/3/12, , 5, 34, 3
2019/3/18, , 10, 31, 7
2019/3/19, , 12, 28, 7
2019/3/20, , 21, 29, 6
2019/3/21, , 29, 33, 7
2019/3/22, , 35, 28, 7
2019/3/23, , 43, 32, 4
2019/3/24, , 36, 36, 2
2019/3/25, , 10, 33, 4
2019/3/26, , 11, 32, 5
2019/3/27, , 17, 28, 6
2019/3/28, , 21, 31, 8
2019/3/29, , 22, 42, 4
2019/3/30, , 25, 32, 
2019/3/31, , 27, 29, 7
2018/10/1, , 16, 18, 4
2018/10/2, , 10, 29, 3
2018/10/3, , 12, 16, 6
2018/10/4, , 17, 28, 9
2018/10/5, , 22, 38, 6
2018/10/6, , 22, 29, 3
2018/10/7, , 21, 18, 9
2018/10/8, , 19, 15, 8
2018/10/9, , 33, 32, 7
2018/10/10, , 39, 31, 7
2018/10/11, , 31, 31, 6
2018/10/12, , 17, 38, 7
2018/10/13, , 14, 37, 2
2018/10/14, , 16, 37, 9
2018/10/15, , 18, 25, 11
2018/10/16, , 36, 27, 11
2018/10/17, , 43, 21, 7
2018/10/18, , 44, 16, 5
2018/10/19, , 25, 23, 4
2018/10/20, , 21, 23, 4
2018/10/21, , 18, 19, 9
2018/10/22, , 25, 19, 6
2018/10/23, , 27, 21, 3
2018/10/24, , 13, 18, 8
2018/10/25, , 11, 19, 6
2018/10/26, , 20, 21, 3
2018/10/27, , 12, 18, 
2018/10/28, , 8, 15, 
2018/10/29, , 5, 9, 3
2018/11/1, , 11, 21, 8
2018/11/2, , 11, 14, 5
2018/11/3, , 21, 7, 3
2018/11/4, , 26, 5, 7
2018/11/5, , 20, 2, 12
2018/11/6, , 29, 24, 7
2018/11/7, , 34, 22, 6
2018/11/8, , 14, 15, 6
2018/11/9, , 24, 22, 3
2018/11/10, , 13, 28, 
2018/11/11, , 7, 24, 8
2018/11/14, , 13, 7, 9
2018/11/15, , 28, 8, 10
2018/11/16, , 28, 14, 5
2018/11/17, , 25, 19, 6
2018/11/18, , 17, 17, 3
2018/11/19, , 13, 18, 6
2018/11/20, , 14, 14, 7
2018/11/21, , 20, 4, 6
2018/11/22, , 20, 2, 9
2018/11/23, , 18, 1, 11
2018/11/24, , 18, 1, 8
2018/11/25, , 10, 8, 5
2018/11/26, , 15, 12, 5
2018/11/27, , 26, 15, 5
2018/11/28, , 31, 19, 3
2018/11/29, , 16, 16, 5
2018/11/30, , 9, 26, 2
2018/12/1, , 12, 23, 2
2018/12/2, , 7, 24, 4
2018/12/3, , 5, 24, 6
2018/12/4, , 8, 18, 7
2018/12/5, , 16, 18, 7
2018/12/6, , 13, 26, 
2018/12/11, , 10, 7, 7
